pop, ms ,plot,line,y1,y2,x1,x2,tag,notes,id,class.2013,ros1.2013,ros2.2013,fruits.2013,flowers.2013,class.2014,ros1.2014,ros2.2014,fruits.2014,flowers.2014,notes.2014,class.2015,ros1.2015,ros2.2015,fruits.2015,flowers.2015,notes.2015,class.2016,ros1.2016,ros2.2016,fruits.2016,flowers.2016,notes.2016, found.yr 
B46,S,1,1,19.66,,-0.43,,,75% dead,153,A,8.5,6,0,2,A,7,4,,3,,J,3.5,4,,,,A,4.5,1.5,5,5,,2013
B46,S,1,1,20,,-0.19,,,,154,A,4,2.5,2,2,A,4,4,,5,,D,,,,,,D,,,,,,2013
B46,S,1,1,20,,-0.75,,,,155,J,1.5,1.5,,,A,2,2,,1,,J,2.5,2.5,,,,D,,,,,,2013
B46,S,1,1,20.46,,-0.11,,,,156,J,1,1,,,A,1,1,,1,,D,,,,,,D,,,,,,2013
B46,S,1,1,20.52,,-0.11,,,bud,157,J,1.5,1,,,J,2,1,,,,J,1.5,0.5,,,,J,2,1,,,,2013
B46,S,1,1,20.55,,-0.13,,,,158,J,1.5,1,,,J,2,1,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,20.52,,-0.24,,N,South of plant,159,A,2,2,1,1,A,2,1,,2,,D,,,,,,D,,,,,,2013
B46,S,1,1,20.12,,-0.69,,,,160,A,3,2,,2,A,2,2,,1,,A,2.5,1.5,4,4,,A,2.5,2,3,3,,2013
B46,S,1,1,20.5,,-0.78,,,,161,J,3,3,,,A,3,2,,1,,A,3,3,5,5,,A,3,2.5,5,6,,2013
B46,S,1,1,20.79,,-0.27,,,,162,J,0.5,0.5,,,A,2,1,,1,,D,,,,,,D,,,,,,2013
B46,S,1,1,21,,-0.15,,,,163,J,1,1,,,J,1,1,,,,J,1,1,,,,D,,,,,,2013
B46,S,1,1,21.1,,-1.05,,,,164,A,3,3,1,1,A,3,2,,2,,A,3,3,4,4,,A,3.5,3,7,7,,2013
B46,S,1,1,21.15,,-0.19,,,,165,A,2,1,1,1,J,1,1,,,,J,1.5,1,,,,A,2.5,2,2,2,,2013
B46,S,1,1,21.25,,-0.18,,N,North of plant,166,A,1,1,0,1,A,1,2,,1,,D,,,,,,D,,,,,,2013
B46,S,1,1,21.23,,-0.2,,,,167,J,1,1,,,D,,,,,,J,0.5,0.5,,,,J,0.5,0.5,,,,2013
B46,S,1,1,21.23,,-0.25,,,,168,J,0.5,0.5,,,D,,,,,,J,1,0.5,,,,J,1,1,,,,2013
B46,S,1,1,21.58,,0.1,,,,169,A,8,8,10,10,A,4,3,,6,,J,3.5,3.5,,,,J,3.5,3,,,,2013
B46,S,1,1,21.74,,0.08,,,,170,A,3,3,1,1,A,2,3,,3,,J,3,2,,,,A,4.5,2.5,5,5,,2013
B46,S,1,1,21.73,,-0.22,,N,South of plant,171,S,0.2,0.2,,,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,21.75,,-0.22,,,,172,J,0.5,0.5,,,J,1,1,,,,J,1.5,1,,,,J,2,1,,,,2013
B46,S,1,1,21.9,,-0.39,,N,North of plant,173,A,5,5,0,1,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,22.12,,0.06,,,,174,A,3.5,3.5,1,3,A,3,3,,7,,J,3.5,3.5,,,,J,3,2,,,,2013
B46,S,1,1,23.15,,-0.53,,,,175,A,1,1,1,1,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,22.38,,-0.77,,,,176,A,9,9,7,12,A,8,6,,11,,A,7,3.5,4,4,,J,6.5,3,,,,2013
B46,S,1,1,22.5,,-0.6,,,,177,A,8,4,0,4,A,3,3,,5,,A,2.5,2.5,1,1,,J,2.5,2,,,MAYBE SAME PL,2013
B46,S,1,1,22.4,,-0.35,,,dead UP,178,A,4.5,2,,9,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,22.47,,-0.15,,,root mass img935,179,A,8.5,7.5,0,2,A,5,7,,5,,D,,,,,,D,,,,,,2013
B46,S,1,1,22.76,,-0.16,,,,180,A,3.5,2.5,2,2,J,3,3,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,24.66,,-0.14,,,,181,J,1,1,,,J,0.5,1,,,,J,1.5,1,,,,D,,,,,,2013
B46,S,1,1,24.69,,-0.18,,N,South of plant. Stressed,182,J,4,2.5,,,J,0.5,4,,,,J,0.5,0.5,,,,D,,,,,,2013
B46,S,1,1,25.28,,-0.23,,,,183,A,4,4,4,4,D,,,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,26,,-0.15,,,,184,A,5,6,5,6,A,5,5,,11,,D,,,,,,D,,,,,,2013
B46,S,1,1,26.16,,-0.25,,,,185,J,0.5,0.5,,,J,0.5,0.5,,,,J,1,1,,,,J,1,1,,,,2013
B46,S,1,1,25.7,,-1.1,,,,186,J,3.5,3.5,,,A,4,5,,8,,D,,,,,,D,,,,,,2013
B46,S,1,1,26.62,,-0.15,,,,187,A,2.5,3,1,1,J,2,1,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,28.25,,-0.07,,,,188,A,6.5,4,4,4,D,,,,,,D,,,,,,D,,,,,,2013
